zo 5 apr 2020 10:45:02 CEST , 10 Beschikbaar , 5 Bellers , 7 Chatters , 5 Bezet , 79 Offline
zo 5 apr 2020 11:00:01 CEST , 15 Beschikbaar , 6 Bellers , 13 Chatters , 4 Bezet , 75 Offline
zo 5 apr 2020 11:15:02 CEST , 18 Beschikbaar , 8 Bellers , 15 Chatters , 3 Bezet , 73 Offline
zo 5 apr 2020 11:30:02 CEST , 12 Beschikbaar , 6 Bellers , 9 Chatters , 9 Bezet , 73 Offline
zo 5 apr 2020 11:45:02 CEST , 11 Beschikbaar , 7 Bellers , 8 Chatters , 9 Bezet , 74 Offline
zo 5 apr 2020 12:00:02 CEST , 13 Beschikbaar , 5 Bellers , 10 Chatters , 5 Bezet , 76 Offline
zo 5 apr 2020 12:15:01 CEST , 13 Beschikbaar , 3 Bellers , 12 Chatters , 6 Bezet , 75 Offline
zo 5 apr 2020 12:30:02 CEST , 14 Beschikbaar , 5 Bellers , 14 Chatters , 3 Bezet , 77 Offline
zo 5 apr 2020 12:45:02 CEST , 11 Beschikbaar , 3 Bellers , 11 Chatters , 6 Bezet , 77 Offline
zo 5 apr 2020 13:00:01 CEST , 15 Beschikbaar , 6 Bellers , 15 Chatters , 4 Bezet , 75 Offline
zo 5 apr 2020 13:15:01 CEST , 14 Beschikbaar , 4 Bellers , 14 Chatters , 6 Bezet , 74 Offline
zo 5 apr 2020 13:30:02 CEST , 11 Beschikbaar , 2 Bellers , 11 Chatters , 8 Bezet , 75 Offline
zo 5 apr 2020 13:45:02 CEST , 10 Beschikbaar , 2 Bellers , 10 Chatters , 7 Bezet , 77 Offline
zo 5 apr 2020 14:00:01 CEST , 10 Beschikbaar , 5 Bellers , 10 Chatters , 4 Bezet , 80 Offline
zo 5 apr 2020 14:15:02 CEST , 10 Beschikbaar , 5 Bellers , 10 Chatters , 6 Bezet , 78 Offline
zo 5 apr 2020 14:30:02 CEST , 11 Beschikbaar , 4 Bellers , 11 Chatters , 6 Bezet , 77 Offline
zo 5 apr 2020 14:45:01 CEST , 11 Beschikbaar , 5 Bellers , 11 Chatters , 5 Bezet , 78 Offline
zo 5 apr 2020 15:00:02 CEST , 6 Beschikbaar , 3 Bellers , 6 Chatters , 9 Bezet , 79 Offline
zo 5 apr 2020 15:15:02 CEST , 8 Beschikbaar , 4 Bellers , 6 Chatters , 10 Bezet , 76 Offline
zo 5 apr 2020 15:30:01 CEST , 9 Beschikbaar , 4 Bellers , 6 Chatters , 9 Bezet , 76 Offline
zo 5 apr 2020 15:45:02 CEST , 11 Beschikbaar , 5 Bellers , 7 Chatters , 7 Bezet , 76 Offline
zo 5 apr 2020 16:00:02 CEST , 12 Beschikbaar , 6 Bellers , 8 Chatters , 4 Bezet , 78 Offline
zo 5 apr 2020 16:15:02 CEST , 13 Beschikbaar , 6 Bellers , 9 Chatters , 5 Bezet , 76 Offline
zo 5 apr 2020 16:30:01 CEST , 11 Beschikbaar , 4 Bellers , 8 Chatters , 6 Bezet , 77 Offline
zo 5 apr 2020 16:45:02 CEST , 12 Beschikbaar , 4 Bellers , 9 Chatters , 5 Bezet , 77 Offline
zo 5 apr 2020 17:00:02 CEST , 11 Beschikbaar , 2 Bellers , 10 Chatters , 3 Bezet , 80 Offline
zo 5 apr 2020 17:15:01 CEST , 9 Beschikbaar , 2 Bellers , 8 Chatters , 4 Bezet , 81 Offline
zo 5 apr 2020 17:30:02 CEST , 8 Beschikbaar , 1 Bellers , 7 Chatters , 5 Bezet , 81 Offline
zo 5 apr 2020 17:45:03 CEST , 9 Beschikbaar , 2 Bellers , 8 Chatters , 5 Bezet , 80 Offline
zo 5 apr 2020 18:00:01 CEST , 4 Beschikbaar , 1 Bellers , 3 Chatters , 4 Bezet , 86 Offline
zo 5 apr 2020 18:15:02 CEST , 4 Beschikbaar , 1 Bellers , 3 Chatters , 5 Bezet , 85 Offline
zo 5 apr 2020 18:30:01 CEST , 4 Beschikbaar , 2 Bellers , 2 Chatters , 4 Bezet , 86 Offline
zo 5 apr 2020 18:45:02 CEST , 7 Beschikbaar , 2 Bellers , 5 Chatters , 4 Bezet , 83 Offline
zo 5 apr 2020 19:00:01 CEST , 7 Beschikbaar , 3 Bellers , 5 Chatters , 5 Bezet , 82 Offline
zo 5 apr 2020 19:15:02 CEST , 10 Beschikbaar , 3 Bellers , 9 Chatters , 4 Bezet , 80 Offline
zo 5 apr 2020 19:30:02 CEST , 8 Beschikbaar , 2 Bellers , 7 Chatters , 4 Bezet , 82 Offline
zo 5 apr 2020 19:45:01 CEST , 10 Beschikbaar , 4 Bellers , 8 Chatters , 3 Bezet , 81 Offline
zo 5 apr 2020 20:00:02 CEST , 12 Beschikbaar , 4 Bellers , 10 Chatters , 2 Bezet , 80 Offline
zo 5 apr 2020 20:15:02 CEST , 13 Beschikbaar , 4 Bellers , 11 Chatters , 3 Bezet , 78 Offline
zo 5 apr 2020 20:30:01 CEST , 12 Beschikbaar , 3 Bellers , 11 Chatters , 6 Bezet , 76 Offline
zo 5 apr 2020 20:45:02 CEST , 15 Beschikbaar , 4 Bellers , 13 Chatters , 5 Bezet , 74 Offline
zo 5 apr 2020 21:00:02 CEST , 13 Beschikbaar , 4 Bellers , 11 Chatters , 5 Bezet , 76 Offline
zo 5 apr 2020 21:15:03 CEST , 13 Beschikbaar , 5 Bellers , 10 Chatters , 4 Bezet , 77 Offline
zo 5 apr 2020 21:30:02 CEST , 12 Beschikbaar , 4 Bellers , 9 Chatters , 7 Bezet , 75 Offline
zo 5 apr 2020 21:45:01 CEST , 13 Beschikbaar , 4 Bellers , 11 Chatters , 5 Bezet , 76 Offline
zo 5 apr 2020 22:00:02 CEST , 12 Beschikbaar , 6 Bellers , 9 Chatters , 6 Bezet , 76 Offline
zo 5 apr 2020 22:15:02 CEST , 11 Beschikbaar , 6 Bellers , 8 Chatters , 8 Bezet , 76 Offline
zo 5 apr 2020 22:30:01 CEST , 11 Beschikbaar , 7 Bellers , 8 Chatters , 4 Bezet , 80 Offline
zo 5 apr 2020 22:45:02 CEST , 6 Beschikbaar , 4 Bellers , 3 Chatters , 4 Bezet , 85 Offline
zo 5 apr 2020 23:00:02 CEST , 8 Beschikbaar , 5 Bellers , 5 Chatters , 5 Bezet , 82 Offline
zo 5 apr 2020 23:15:02 CEST , 8 Beschikbaar , 4 Bellers , 6 Chatters , 5 Bezet , 82 Offline
zo 5 apr 2020 23:30:01 CEST , 5 Beschikbaar , 3 Bellers , 3 Chatters , 5 Bezet , 85 Offline
zo 5 apr 2020 23:45:03 CEST , 8 Beschikbaar , 4 Bellers , 6 Chatters , 1 Bezet , 86 Offline
ma 6 apr 2020 0:00:02 CEST , 5 Beschikbaar , 2 Bellers , 3 Chatters , 2 Bezet , 88 Offline
ma 6 apr 2020 0:15:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 2 Bezet , 90 Offline
ma 6 apr 2020 0:30:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 3 Bezet , 91 Offline
ma 6 apr 2020 0:45:01 CEST , 0 Beschikbaar , 0 Bellers , 0 Chatters , 4 Bezet , 91 Offline tail /home/ray/scripts/pv.log
ma 6 apr 2020 1:00:02 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 2 Bezet , 91 Offline
ma 6 apr 2020 1:15:02 CEST , 3 Beschikbaar , 1 Bellers , 3 Chatters , 2 Bezet , 90 Offline
ma 6 apr 2020 1:30:01 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 2 Bezet , 91 Offline
ma 6 apr 2020 1:45:03 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 2 Bezet , 92 Offline
ma 6 apr 2020 9:00:02 CEST , 8 Beschikbaar , 6 Bellers , 6 Chatters , 4 Bezet , 83 Offline
ma 6 apr 2020 9:15:02 CEST , 7 Beschikbaar , 4 Bellers , 7 Chatters , 6 Bezet , 82 Offline
ma 6 apr 2020 9:30:02 CEST , 10 Beschikbaar , 4 Bellers , 9 Chatters , 4 Bezet , 81 Offline
ma 6 apr 2020 9:45:02 CEST , 12 Beschikbaar , 5 Bellers , 11 Chatters , 4 Bezet , 79 Offline
ma 6 apr 2020 10:00:02 CEST , 18 Beschikbaar , 7 Bellers , 17 Chatters , 1 Bezet , 76 Offline
ma 6 apr 2020 10:15:01 CEST , 17 Beschikbaar , 8 Bellers , 15 Chatters , 3 Bezet , 75 Offline
ma 6 apr 2020 10:30:02 CEST , 17 Beschikbaar , 8 Bellers , 15 Chatters , 4 Bezet , 74 Offline
ma 6 apr 2020 10:45:02 CEST , 18 Beschikbaar , 7 Bellers , 16 Chatters , 7 Bezet , 70 Offline
