zo 13 okt 2019 13:45:01 CEST , 9 Beschikbaar , 2 Bellers , 4 Chatters , 3 Beiden , 6 Bezet , 90 Offline
zo 13 okt 2019 14:00:02 CEST , 9 Beschikbaar , 2 Bellers , 4 Chatters , 3 Beiden , 5 Bezet , 91 Offline
zo 13 okt 2019 14:15:01 CEST , 8 Beschikbaar , 0 Bellers , 6 Chatters , 2 Beiden , 5 Bezet , 92 Offline
zo 13 okt 2019 14:30:02 CEST , 9 Beschikbaar , 0 Bellers , 6 Chatters , 3 Beiden , 4 Bezet , 92 Offline
zo 13 okt 2019 14:45:01 CEST , 10 Beschikbaar , 1 Bellers , 6 Chatters , 3 Beiden , 3 Bezet , 92 Offline
zo 13 okt 2019 15:00:02 CEST , 9 Beschikbaar , 2 Bellers , 5 Chatters , 2 Beiden , 5 Bezet , 91 Offline
zo 13 okt 2019 15:15:01 CEST , 8 Beschikbaar , 1 Bellers , 5 Chatters , 2 Beiden , 6 Bezet , 91 Offline
zo 13 okt 2019 15:30:02 CEST , 8 Beschikbaar , 0 Bellers , 7 Chatters , 1 Beiden , 4 Bezet , 93 Offline
zo 13 okt 2019 15:45:01 CEST , 11 Beschikbaar , 2 Bellers , 6 Chatters , 3 Beiden , 0 Bezet , 94 Offline
zo 13 okt 2019 16:00:02 CEST , 12 Beschikbaar , 3 Bellers , 5 Chatters , 4 Beiden , 1 Bezet , 92 Offline
zo 13 okt 2019 16:15:01 CEST , 11 Beschikbaar , 2 Bellers , 7 Chatters , 2 Beiden , 5 Bezet , 89 Offline
zo 13 okt 2019 16:30:02 CEST , 13 Beschikbaar , 3 Bellers , 8 Chatters , 2 Beiden , 4 Bezet , 88 Offline
zo 13 okt 2019 16:45:01 CEST , 15 Beschikbaar , 3 Bellers , 11 Chatters , 1 Beiden , 2 Bezet , 88 Offline
zo 13 okt 2019 17:00:02 CEST , 17 Beschikbaar , 3 Bellers , 10 Chatters , 4 Beiden , 1 Bezet , 87 Offline
zo 13 okt 2019 17:15:01 CEST , 11 Beschikbaar , 2 Bellers , 7 Chatters , 2 Beiden , 5 Bezet , 89 Offline
zo 13 okt 2019 17:30:02 CEST , 12 Beschikbaar , 1 Bellers , 8 Chatters , 3 Beiden , 4 Bezet , 89 Offline
zo 13 okt 2019 17:45:01 CEST , 12 Beschikbaar , 2 Bellers , 7 Chatters , 3 Beiden , 4 Bezet , 89 Offline
zo 13 okt 2019 18:00:02 CEST , 12 Beschikbaar , 3 Bellers , 6 Chatters , 3 Beiden , 6 Bezet , 87 Offline
zo 13 okt 2019 18:15:01 CEST , 10 Beschikbaar , 2 Bellers , 3 Chatters , 5 Beiden , 9 Bezet , 86 Offline
zo 13 okt 2019 18:30:02 CEST , 13 Beschikbaar , 2 Bellers , 4 Chatters , 7 Beiden , 5 Bezet , 87 Offline
zo 13 okt 2019 18:45:01 CEST , 9 Beschikbaar , 1 Bellers , 2 Chatters , 6 Beiden , 7 Bezet , 88 Offline
zo 13 okt 2019 19:00:02 CEST , 12 Beschikbaar , 1 Bellers , 5 Chatters , 6 Beiden , 4 Bezet , 88 Offline
zo 13 okt 2019 19:15:01 CEST , 16 Beschikbaar , 4 Bellers , 8 Chatters , 4 Beiden , 2 Bezet , 86 Offline
zo 13 okt 2019 19:30:01 CEST , 12 Beschikbaar , 3 Bellers , 7 Chatters , 2 Beiden , 7 Bezet , 85 Offline
zo 13 okt 2019 19:45:02 CEST , 9 Beschikbaar , 3 Bellers , 5 Chatters , 1 Beiden , 8 Bezet , 87 Offline
zo 13 okt 2019 20:00:01 CEST , 9 Beschikbaar , 3 Bellers , 5 Chatters , 1 Beiden , 7 Bezet , 88 Offline
zo 13 okt 2019 20:15:02 CEST , 13 Beschikbaar , 4 Bellers , 5 Chatters , 4 Beiden , 3 Bezet , 88 Offline
zo 13 okt 2019 20:30:01 CEST , 12 Beschikbaar , 3 Bellers , 6 Chatters , 3 Beiden , 4 Bezet , 88 Offline
zo 13 okt 2019 20:45:02 CEST , 11 Beschikbaar , 4 Bellers , 5 Chatters , 2 Beiden , 7 Bezet , 86 Offline
zo 13 okt 2019 21:00:01 CEST , 14 Beschikbaar , 4 Bellers , 6 Chatters , 4 Beiden , 6 Bezet , 84 Offline
zo 13 okt 2019 21:15:02 CEST , 10 Beschikbaar , 3 Bellers , 5 Chatters , 2 Beiden , 8 Bezet , 86 Offline
zo 13 okt 2019 21:30:01 CEST , 10 Beschikbaar , 4 Bellers , 5 Chatters , 1 Beiden , 9 Bezet , 85 Offline
zo 13 okt 2019 21:45:01 CEST , 8 Beschikbaar , 3 Bellers , 4 Chatters , 1 Beiden , 10 Bezet , 86 Offline
zo 13 okt 2019 22:00:02 CEST , 9 Beschikbaar , 3 Bellers , 4 Chatters , 2 Beiden , 7 Bezet , 88 Offline
zo 13 okt 2019 22:15:01 CEST , 6 Beschikbaar , 2 Bellers , 3 Chatters , 1 Beiden , 9 Bezet , 89 Offline
zo 13 okt 2019 22:30:02 CEST , 5 Beschikbaar , 0 Bellers , 3 Chatters , 2 Beiden , 8 Bezet , 91 Offline
zo 13 okt 2019 22:45:01 CEST , 5 Beschikbaar , 0 Bellers , 4 Chatters , 1 Beiden , 7 Bezet , 92 Offline
zo 13 okt 2019 23:00:02 CEST , 5 Beschikbaar , 0 Bellers , 4 Chatters , 1 Beiden , 6 Bezet , 93 Offline
zo 13 okt 2019 23:15:02 CEST , 6 Beschikbaar , 0 Bellers , 3 Chatters , 3 Beiden , 5 Bezet , 93 Offline
zo 13 okt 2019 23:30:01 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , 8 Bezet , 95 Offline
zo 13 okt 2019 23:45:02 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 7 Bezet , 95 Offline
